2026.01.10 16:18:20 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:22 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:23 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:23 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:22 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:24 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java
2026.01.10 16:18:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:24 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:25 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\Severity.java. Using fallback presentation compiler.
2026.01.10 16:18:26 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java
2026.01.10 16:18:26 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:26 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:26 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\AlertType.java. Using fallback presentation compiler.
2026.01.10 16:18:28 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\PathTypes.java. Using fallback presentation compiler.
2026.01.10 16:18:30 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:18:30 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:18:47 WARN  no build target for: C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java
2026.01.10 16:18:47 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:18:47 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:18:47 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:18:47 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\ServerStatus.java. Using fallback presentation compiler.
2026.01.10 16:19:05 INFO  no build target found for C:\Users\George\Desktop\proiectPOO\proiect_update\proiect-2026-template\src\main\java\org\example\model\User.java. Using fallback presentation compiler.
